,Date,Long_rate,Country,Variable_long
10,2014,24.3366666666667,GH,FIGB_PA
11,2015,23.5191666666667,GH,FIGB_PA
12,2016,24.3958333333333,GH,FIGB_PA
13,2017,20.0833333333333,GH,FIGB_PA
14,2018,17.7916666666667,GH,FIGB_PA
15,2019,19.8,GH,FIGB_PA
16,2020,19.4416666666667,GH,FIGB_PA
0,1995,16.9591666666667,GR,FIGB_PA
1,1996,14.4333333333333,GR,FIGB_PA
2,1997,9.91916666666667,GR,FIGB_PA
3,1998,8.4825,GR,FIGB_PA
4,1999,6.2975,GR,FIGB_PA
5,2000,6.1,GR,FIGB_PA
6,2001,5.30333333333333,GR,FIGB_PA
7,2002,5.1225,GR,FIGB_PA
8,2003,4.2675,GR,FIGB_PA
9,2004,4.25583333333333,GR,FIGB_PA
10,2005,3.585,GR,FIGB_PA
11,2006,4.07,GR,FIGB_PA
12,2007,4.5,GR,FIGB_PA
13,2008,4.8025,GR,FIGB_PA
14,2009,5.17416666666667,GR,FIGB_PA
15,2010,9.09166666666667,GR,FIGB_PA
16,2011,15.7491666666667,GR,FIGB_PA
17,2012,22.4983333333333,GR,FIGB_PA
18,2013,10.0541666666667,GR,FIGB_PA
19,2014,6.92916666666667,GR,FIGB_PA
20,2015,9.81333333333333,GR,FIGB_PA
21,2016,8.36,GR,FIGB_PA
22,2017,5.97833333333333,GR,FIGB_PA
23,2018,4.185,GR,FIGB_PA
24,2019,2.58583333333333,GR,FIGB_PA
25,2020,1.27166666666667,GR,FIGB_PA
0,2001,7.945,HU,FIGB_PA
1,2002,7.085,HU,FIGB_PA
2,2003,6.82333333333333,HU,FIGB_PA
3,2004,8.18916666666667,HU,FIGB_PA
4,2005,6.59916666666667,HU,FIGB_PA
5,2006,7.11583333333333,HU,FIGB_PA
6,2007,6.74416666666667,HU,FIGB_PA
7,2008,8.23833333333333,HU,FIGB_PA
8,2009,9.12333333333333,HU,FIGB_PA
9,2010,7.282125,HU,FIGB_PA
10,2011,7.63515833333333,HU,FIGB_PA
11,2012,7.89083333333333,HU,FIGB_PA
12,2013,5.92333333333333,HU,FIGB_PA
13,2014,4.80916666666667,HU,FIGB_PA
14,2015,3.4325,HU,FIGB_PA
15,2016,3.14333333333333,HU,FIGB_PA
16,2017,2.9625,HU,FIGB_PA
17,2018,3.05833333333333,HU,FIGB_PA
18,2019,2.465,HU,FIGB_PA
19,2020,2.225,HU,FIGB_PA
0,1995,7.18083333333333,IS,FIGB_PA
1,1996,5.61416666666667,IS,FIGB_PA
2,1997,5.49166666666667,IS,FIGB_PA
3,1998,4.73333333333333,IS,FIGB_PA
4,1999,4.27916666666667,IS,FIGB_PA
5,2000,5.34916666666667,IS,FIGB_PA
6,2001,5.32833333333333,IS,FIGB_PA
7,2002,5.2325,IS,FIGB_PA
8,2003,4.41416666666667,IS,FIGB_PA
9,2004,3.879423105,IS,FIGB_PA
10,2005,3.73029353333333,IS,FIGB_PA
11,2006,4.3173818525,IS,FIGB_PA
12,2007,4.96211657,IS,FIGB_PA
13,2008,4.300186665,IS,FIGB_PA
14,2009,4.29952465416667,IS,FIGB_PA
15,2010,3.49332216083333,IS,FIGB_PA
16,2011,2.94615757,IS,FIGB_PA
17,2012,2.27898126666667,IS,FIGB_PA
18,2013,2.55166666666667,IS,FIGB_PA
19,2014,3.1975,IS,FIGB_PA
20,2015,2.66083333333333,IS,FIGB_PA
21,2016,2.78166666666667,IS,FIGB_PA
22,2017,2.21666666666667,IS,FIGB_PA
23,2018,1.8425,IS,FIGB_PA
24,2019,1.08583333333333,IS,FIGB_PA
25,2020,0.340355115833333,IS,FIGB_PA
0,2005,6.9575,IN,FIGB_PA
1,2006,7.655,IN,FIGB_PA
2,2007,7.97,IN,FIGB_PA
3,2008,7.845,IN,FIGB_PA
4,2009,6.94833333333333,IN,FIGB_PA
5,2010,7.84506416666667,IN,FIGB_PA
6,2011,8.37251916666667,IN,FIGB_PA
7,2012,8.29416333333333,IN,FIGB_PA
8,2013,8.145,IN,FIGB_PA
9,2014,8.55583333333333,IN,FIGB_PA
10,2015,7.76833333333333,IN,FIGB_PA
11,2016,7.170725,IN,FIGB_PA
12,2017,6.97,IN,FIGB_PA
0,1995,8.255,IE,FIGB_PA
1,1996,7.28916666666667,IE,FIGB_PA
2,1997,6.29333333333333,IE,FIGB_PA
3,1998,4.79666666666667,IE,FIGB_PA
4,1999,4.71083333333333,IE,FIGB_PA
5,2000,5.5125,IE,FIGB_PA
6,2001,5.01166666666667,IE,FIGB_PA
7,2002,5.01,IE,FIGB_PA
8,2003,4.1325,IE,FIGB_PA
9,2004,4.07666666666667,IE,FIGB_PA
10,2005,3.32916666666667,IE,FIGB_PA
11,2006,3.765,IE,FIGB_PA
12,2007,4.30583333333333,IE,FIGB_PA
13,2008,4.52583333333333,IE,FIGB_PA
14,2009,5.225,IE,FIGB_PA
15,2010,5.73916666666667,IE,FIGB_PA
16,2011,9.60166666666667,IE,FIGB_PA
17,2012,6.17166666666667,IE,FIGB_PA
18,2013,3.79,IE,FIGB_PA
19,2014,2.3675,IE,FIGB_PA
20,2015,1.1825,IE,FIGB_PA
21,2016,0.735833333333333,IE,FIGB_PA
22,2017,0.951666666666667,IE,FIGB_PA
0,1995,12.205,IT,FIGB_PA
1,1996,9.40083333333333,IT,FIGB_PA
2,1997,6.8625,IT,FIGB_PA
3,1998,4.88416666666667,IT,FIGB_PA
4,1999,4.7275,IT,FIGB_PA
5,2000,5.57583333333333,IT,FIGB_PA
6,2001,5.18916666666667,IT,FIGB_PA
7,2002,5.03583333333333,IT,FIGB_PA
8,2003,4.24833333333333,IT,FIGB_PA
9,2004,4.25833333333333,IT,FIGB_PA
10,2005,3.55583333333333,IT,FIGB_PA
11,2006,4.0475,IT,FIGB_PA
12,2007,4.48731583333333,IT,FIGB_PA
13,2008,4.68114916666667,IT,FIGB_PA
14,2009,4.31333333333333,IT,FIGB_PA
15,2010,4.03583333333333,IT,FIGB_PA
16,2011,5.42416666666667,IT,FIGB_PA
17,2012,5.4925,IT,FIGB_PA
18,2013,4.31666666666667,IT,FIGB_PA
19,2014,2.8925,IT,FIGB_PA
20,2015,1.71416666666667,IT,FIGB_PA
21,2016,1.4875,IT,FIGB_PA
22,2017,2.11166666666667,IT,FIGB_PA
23,2018,2.61,IT,FIGB_PA
24,2019,1.95033333333333,IT,FIGB_PA
25,2020,1.16791666666667,IT,FIGB_PA
0,1999,1.77083333333333,JP,FIGB_PA
1,2000,1.7475,JP,FIGB_PA
2,2001,1.32958333333333,JP,FIGB_PA
3,2002,1.25,JP,FIGB_PA
4,2003,1.01166666666667,JP,FIGB_PA
5,2004,1.49916666666667,JP,FIGB_PA
6,2005,1.35958333333333,JP,FIGB_PA
7,2006,1.73125,JP,FIGB_PA
8,2007,1.65291666666667,JP,FIGB_PA
9,2008,1.44916666666667,JP,FIGB_PA
10,2009,1.3425,JP,FIGB_PA
11,2010,1.15083333333333,JP,FIGB_PA
12,2011,1.11833333333333,JP,FIGB_PA
13,2012,0.839166666666667,JP,FIGB_PA
14,2013,0.700416666666667,JP,FIGB_PA
15,2014,0.52625,JP,FIGB_PA
16,2015,0.346666666666667,JP,FIGB_PA
17,2016,-0.06625,JP,FIGB_PA
18,2017,0.045,JP,FIGB_PA
0,1995,12.4,KR,FIGB_PA
1,1996,10.8966666666667,KR,FIGB_PA
2,1997,11.7,KR,FIGB_PA
3,1998,12.7966666666667,KR,FIGB_PA
4,1999,8.71666666666667,KR,FIGB_PA
5,2000,8.5025,KR,FIGB_PA
6,2001,6.66083333333333,KR,FIGB_PA
7,2002,6.4675,KR,FIGB_PA
8,2003,4.92833333333333,KR,FIGB_PA
9,2004,4.45333333333333,KR,FIGB_PA
10,2005,4.6625,KR,FIGB_PA
11,2006,5.06583333333333,KR,FIGB_PA
12,2007,5.42916666666667,KR,FIGB_PA
13,2008,5.79083333333333,KR,FIGB_PA
