iso,year,XPTOT,IPTOT,SH_PRIM,SH_SECD,GDP,XCH_RATE,POP,TARIFF
BHS,2019,4174822302.231567,3901713336.8814087,0.597990985948685,12.8884732082364,10638244459.82998,0.783445110011929,389.486,5.711879041002369
BHS,2020,,,,,8774995237.842972,0.779999576697153,393.248,
BIH,2014,3833447757.696713,6379450683.21075,5.95105909598808,22.1563662906621,11278455175.804081,0.4122522925607581,3482.106,0.0
BIH,2015,3770405027.4473057,5709809362.918644,6.23816373917094,22.6264079951719,10611191404.948318,0.371164490665234,3429.362,8.0895180794788e-05
BIH,2016,4552386115.195601,6634897249.505254,6.36938102209503,23.246147899009,12526595607.856419,0.41887795785212906,3386.263,0.024910691928407877
BIH,2017,5741703666.170223,8019489564.754086,5.60185722717482,24.0022855513234,14047830199.78272,0.44773415594397437,3351.534,5.513482955307079e-05
BIH,2018,6432277029.065208,8661832553.568659,5.88543675461577,24.5234425216758,15128177758.828573,0.45234648516056924,3323.929,4.650183436737355e-05
BIH,2019,6406302995.685535,8736081131.411728,5.60309353941517,23.9642549619002,15827533803.785551,0.44842950096570344,3300.998,0.003666632685980734
BIH,2020,5296666851.785493,7553569505.831357,6.20463934703999,23.8713441476592,15434960977.028141,0.45428828211159406,3280.815,
BLR,2014,26315370476.62838,26683901669.28121,7.30299492661078,35.3791986450113,47897505566.53189,0.5944087775707012,9474.511,2.574425191658471
BLR,2015,21436249357.311028,21396818807.738834,6.28329656129848,32.692428112127,36952191163.558655,0.4109920623020009,9489.616,1.6602675609371467
BLR,2016,22093956920.662125,22161334704.10056,6.89528062433517,30.9584092512823,35345045081.209526,0.3722599011644276,9501.534,1.6106439593166815
BLR,2017,28399798531.256298,28309889104.05961,7.56580253848292,31.5544850881623,42521288412.701324,0.40209073568465986,9498.264,1.6035876824439104
BLR,2018,31701476223.11041,31019187696.964916,6.59010772590188,31.2656097096379,44995324472.47863,0.36784868220168987,9483.499,1.5079808772187804
BLR,2019,32847653464.436947,33181323628.17615,6.79466882799274,31.737128716913,50461423131.57962,0.37453454070861236,9417.849,1.5755459651986246
BLR,2020,29094118495.039845,27628278169.050552,6.82931308926166,31.300627185285,47001400955.870514,0.3197276479293127,9398.861,
BLZ,2014,629737465.0024947,659584231.9245718,13.7231112254172,16.145584292811,1013288914.4786423,0.3038648134391275,353.366,
BLZ,2015,663618133.4328887,747630403.1344569,12.9257623491222,14.1171286268973,1126931600.037866,0.327272739465713,360.926,
BLZ,2016,691564966.6248424,810009321.2078708,11.0990086509009,14.0898266604286,1325220273.4480953,0.370317231848542,368.399,
BLZ,2017,784509060.9060447,833862024.0874666,11.1999060638673,13.4674146549641,1444034222.25489,0.3884883411720615,375.775,
BLZ,2018,809288901.9494736,813574623.8297966,9.55779965696954,11.9852455719253,1436027318.3066921,0.3747657701299235,383.071,
BLZ,2019,792428129.6463364,916439837.5384159,8.9679707256406,12.8509461508856,1553194456.151554,0.3917225550059645,390.351,
BLZ,2020,756882943.565337,760891128.8866918,9.11863595988619,11.3991186486419,1375682226.2048936,0.3899997883485765,397.621,
BMU,2014,1994250185.089949,988350084.4624794,0.211116703055883,5.00463985900816,3897970534.0416055,0.607729626878255,65.138,
BMU,2015,2176579717.455039,1015952110.5779339,0.227889496811275,5.12438047943502,4355699725.913811,0.654545478931426,65.237,
BMU,2016,2520919743.1196756,1196827520.976839,0.307018452846711,5.34979364226582,5110311883.04261,0.740634463697084,64.554,
BMU,2017,2693582359.5631237,1323772468.5904348,0.274700811333467,5.50930538497597,5549412989.933347,0.776976682344123,63.873,
BMU,2018,2776189871.968447,1399817609.2738876,0.235039129585599,5.70253652622963,5414862442.713881,0.749531540259847,63.919,
BMU,2019,2945699555.932262,1502331209.1784348,0.219090759319107,6.38516548320422,5863391732.626708,0.783445110011929,63.913,
BMU,2020,,,,,,0.779999576697153,63.903,
BOL,2014,8681459478.281046,8416420848.4615135,9.74021753770169,27.6254998805738,20052761032.19865,,10706.517,
BOL,2015,6667592246.305099,8005991013.179882,10.2394941144455,25.2024162838659,21600130567.667812,,10869.732,
BOL,2016,6155786946.366792,8022286943.471471,11.1718754150532,25.3263589797711,25137967795.910397,,11031.822,
BOL,2017,7257899555.065069,9267730393.837835,11.5893359382153,26.3699744281296,29143340353.075405,,11192.853,
BOL,2018,7847800789.070786,9397616873.827864,11.4819241519851,26.2465894715173,30196862806.820713,,11353.14,
BOL,2019,7999321261.855263,10069947594.685364,12.2217575824891,25.2102745511952,32039240709.928585,,11513.102,
BOL,2020,,,,,28617296207.53242,,11673.029,
BRA,2014,164362066002.82605,204087386211.44925,4.32561053879483,20.4724627454143,1492580089433.477,,202763.744,4.633220087454426
BRA,2015,152174691904.8157,165778904905.40826,4.31913275104669,19.3600439775462,1179631270397.6123,,204471.759,4.613022440635403
BRA,2016,165801524427.28384,160486215767.93246,4.89135358685971,18.3547582771232,1329957431621.7751,,206163.056,4.138463479250411
BRA,2017,200716298217.61496,189201393741.5757,4.60059169575971,18.1885023093992,1603297494850.8127,,207833.825,4.154267486239873
BRA,2018,210277465250.5876,204619361647.9149,4.42039930378329,18.7490514539899,1436812248050.5654,,209469.32,4.067805154909297
BRA,2019,207512652125.66812,211120132139.67477,4.40176323545758,18.4088426878827,1471161464926.2646,,211049.519,4.030467237131055
BRA,2020,190116200549.45145,174481554745.4212,5.90556934538527,17.6501088166769,1126891330438.1853,,212559.409,
BRB,2014,1150859964.5648963,1285144419.4900985,,,2854202192.6337247,0.3038648134391275,284.825,5.288514361437198
BRB,2015,1279011876.7422154,1329780878.6336827,,,3086181933.1616735,0.327272739465713,285.327,5.70103729574816
BRB,2016,1542958038.3030415,1507272455.28768,,,3577264459.6569157,0.370317231848542,285.798,6.023985290621665
BRB,2017,1631882222.3344898,1575068754.9494686,,,3867789924.709044,0.3884883411720615,286.229,
BRB,2018,1574086465.6510012,1513761506.4539206,,,3812492179.531712,0.3747657701299235,286.64,
BRB,2019,1714336940.063433,1701091351.1052277,,,4080965578.052138,0.3917225550059645,287.021,
BRB,2020,,,,,3405088152.0714216,0.3899997883485765,287.371,
BRN,2014,7084395875.641166,3558340426.2680616,0.86273749515316,67.8520652153843,10391169332.9438,0.47964513183708546,409.778,
BRN,2015,4418860379.257764,3189328903.064895,1.10248621892226,61.3623579705254,8463531547.343755,0.4760639437114844,414.914,
BRN,2016,4186207327.587095,3186829777.0296297,1.20363347726695,57.2883572517145,8443865586.260524,0.5361683412702215,419.791,
BRN,2017,4671412816.722067,3355009171.1302104,1.08644948261552,59.7205108761203,9423254676.583849,0.5626632297825382,424.481,
BRN,2018,5281075042.36823,4267389728.1759744,1.01762308070597,63.2436451560024,10169157623.467606,0.5556536617341972,428.96,
BRN,2019,6114786942.309128,5335752849.340196,0.98605510232603,62.5153213988607,10552553538.115976,0.5742812474252106,433.296,
BRN,2020,5371135430.283668,4957108640.455937,1.19317390246263,59.0957785071,9372519112.539898,0.5653385792183219,437.483,
BTN,2014,434066455.94810057,705331653.2184244,14.5144485329975,41.6525962977805,1158995588.4864223,0.009957962671794867,719.053,0.4354949433173115
